SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100074,Cash loans,F,N,Y,0,67500,675000,25447.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.003122,-23670,365243,-7490,-4136,,1,0,0,1,1,0,,2,3,3,TUESDAY,11,0,0,0,0,0,0,XNA,,0.660014906,0.29859499,0.0216,0.0545,0.9781,,,0,0.1034,0.0417,,0.0095,,0.0113,,,0.0221,0.0566,0.9782,,,0,0.1034,0.0417,,0.0097,,0.0117,,,0.0219,0.0545,0.9781,,,0,0.1034,0.0417,,0.0096,,0.0115,,,,block of flats,0.0136,"Stone, brick",No,0,0,0,0,-1671,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100090,Cash loans,F,N,Y,0,135000,261621,16848,216000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.008019,-15524,-3555,-7833,-3985,,1,1,0,1,0,0,Laborers,1,2,2,FRIDAY,17,0,0,0,0,1,1,Self-employed,0.756722238,0.393714697,0.436506499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
100091,Cash loans,F,N,Y,0,247500,296280,23539.5,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018634,-12278,-929,-6031,-4586,,1,1,0,1,0,0,,2,2,2,THURSDAY,17,0,0,0,0,0,0,Self-employed,0.263237598,0.47003551,0.415347145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,-619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
100092,Cash loans,F,Y,Y,0,90000,360000,18535.5,360000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01452,-19687,-3578,-10673,-3183,3,1,1,0,1,0,0,Core staff,2,2,2,TUESDAY,7,0,0,0,0,1,1,Government,0.304939766,0.270255356,0.37571101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,-1414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100106,Revolving loans,M,N,Y,0,180000,157500,7875,157500,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.031329,-12091,-1830,-1042,-4221,,1,1,0,0,0,0,Laborers,2,2,2,TUESDAY,9,0,0,0,1,1,0,Business Entity Type 3,,0.485769931,0.579727423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100107,Cash loans,M,Y,Y,0,180000,296280,21690,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.032561,-13563,-1007,-5719,-4044,14,1,1,0,1,0,1,Laborers,2,1,1,TUESDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.344165258,0.684406724,0.263646813,0.0371,0.0361,0.9513,0.3336,0.0132,0,0.1379,0.125,0.1667,0.032,0.0286,0.0613,0.0077,0.0007,0.0378,0.0375,0.9513,0.3597,0.0134,0,0.1379,0.125,0.1667,0.0327,0.0312,0.0639,0.0078,0.0008,0.0375,0.0361,0.9513,0.3425,0.0133,0,0.1379,0.125,0.1667,0.0326,0.0291,0.0624,0.0078,0.0007,reg oper account,block of flats,0.0484,"Stone, brick",No,2,0,2,0,-317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
100109,Cash loans,F,Y,Y,0,202500,407520,26041.5,360000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.00702,-19375,-4739,-3035,-2895,11,1,1,1,1,0,0,Laborers,1,2,2,SATURDAY,15,0,0,0,0,0,0,Services,0.583117829,0.635027847,0.306202298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100117,Cash loans,M,Y,Y,0,90000,499221,22117.5,373500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.003122,-22705,365243,-5107,-5990,15,1,0,0,1,0,0,,2,3,3,FRIDAY,10,0,0,0,0,0,0,XNA,0.587175496,0.646763524,0.652896552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100128,Cash loans,F,Y,Y,1,225000,431280,23526,360000,Unaccompanied,Commercial associate,Higher education,Civil marriage,With parents,0.025164,-10962,-1883,-99,-1721,8,1,1,0,1,0,1,Managers,3,2,2,THURSDAY,10,0,0,0,0,0,0,Bank,0.339002381,0.375073264,0.347418227,0.1093,0.0464,0.9881,0.8368,0,0.12,0.1034,0.375,0.4167,0,0.0891,0.0986,0,0.0282,0.1113,0.0482,0.9881,0.8432,0,0.1208,0.1034,0.375,0.4167,0,0.0973,0.1027,0,0.0299,0.1103,0.0464,0.9881,0.839,0,0.12,0.1034,0.375,0.4167,0,0.0906,0.1004,0,0.0288,reg oper account,block of flats,0.0837,Panel,No,5,0,5,0,-1616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
100141,Cash loans,F,Y,Y,0,175500,478498.5,46741.5,454500,Family,Working,Secondary / secondary special,Married,House / apartment,0.010147,-17955,-305,-10087,-1516,10,1,1,1,1,0,0,Laborers,2,2,2,TUESDAY,11,1,1,0,1,1,0,Industry: type 3,0.696565505,0.742764776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100150,Cash loans,F,N,Y,0,99000,225000,19242,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.007274,-10507,-2780,-5072,-2729,,1,1,0,1,1,0,Sales staff,2,2,2,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.590531144,0.600999417,0.76102637,0.0825,0.0654,0.9762,0.6736,0,0,0.1379,0.1667,0.2083,0.0477,0.0672,0.0474,0,0,0.084,0.0678,0.9762,0.6864,0,0,0.1379,0.1667,0.2083,0.0488,0.0735,0.0494,0,0,0.0833,0.0654,0.9762,0.678,0,0,0.1379,0.1667,0.2083,0.0486,0.0684,0.0482,0,0,reg oper account,block of flats,0.0547,Panel,No,0,0,0,0,-2297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
100168,Cash loans,F,N,Y,0,157500,266652,16443,202500,Unaccompanied,Working,Higher education,Widow,House / apartment,0.011657,-22557,-13294,-13154,-4187,,1,1,0,1,0,0,,1,1,1,TUESDAY,15,0,0,0,0,0,0,Other,,0.70893904,0.746300213,0.0515,0.0455,0.9627,,,0.04,0.1379,0.2083,,0,,0,,0.0397,0.0525,0.0472,0.9628,,,0.0403,0.1379,0.2083,,0,,0,,0.0421,0.052,0.0455,0.9627,,,0.04,0.1379,0.2083,,0,,0,,0.0406,,block of flats,0.0508,"Stone, brick",No,0,0,0,0,-1144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100169,Cash loans,F,N,Y,0,135000,540000,27702,540000,Family,Pensioner,Higher education,Separated,House / apartment,0.072508,-22784,365243,-5103,-5229,,1,0,0,1,0,0,,1,1,1,TUESDAY,12,0,0,0,0,0,0,XNA,0.866009783,0.638613618,0.15951954,0.3423,0.142,0.9925,0.898,0,0.4,0.1724,0.6667,0.7083,0,0.2749,0.3755,0.0193,0.0164,0.3487,0.1474,0.9926,0.902,0,0.4028,0.1724,0.6667,0.7083,0,0.3003,0.3912,0.0195,0.0174,0.3456,0.142,0.9925,0.8994,0,0.4,0.1724,0.6667,0.7083,0,0.2796,0.3822,0.0194,0.0167,reg oper account,block of flats,0.2989,Panel,No,0,0,0,0,-519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100170,Cash loans,M,N,Y,1,337500,1313212.5,42493.5,1012500,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.02461,-11948,-1415,-5611,-4052,,1,1,0,1,0,1,Laborers,3,2,2,TUESDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.661225881,0.44005783,0.1237,0.0595,0.9866,,,0.12,0.1034,0.375,,0.0629,,0.1239,,0.0243,0.1261,0.0617,0.9866,,,0.1208,0.1034,0.375,,0.0644,,0.1291,,0.0257,0.1249,0.0595,0.9866,,,0.12,0.1034,0.375,,0.064,,0.1261,,0.0248,,block of flats,0.1217,Panel,No,1,0,1,0,-1582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100171,Cash loans,M,Y,Y,0,157500,539100,29245.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13172,-3518,-6207,-4243,20,1,1,1,1,0,0,Drivers,2,2,2,WEDNESDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.68740769,0.662637792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,-2470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
100172,Cash loans,F,N,Y,0,76500,225000,12334.5,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010966,-15394,-967,-5389,-5433,,1,1,0,1,0,0,Laborers,2,2,2,TUESDAY,10,0,0,0,0,1,1,Business Entity Type 3,,0.348885847,0.53527625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
100184,Cash loans,F,N,Y,0,112500,256032,10759.5,180000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.019689,-21150,365243,-4157,-4658,,1,0,0,1,0,0,,1,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.263101192,0.474051289,0.1361,,0.9826,0.762,0.0573,0,0.069,0.1667,0.2083,0.0645,,0.0488,,0.0284,0.1387,,0.9826,0.7713,0.0579,0,0.069,0.1667,0.2083,0.066,,0.0509,,0.0301,0.1374,,0.9826,0.7652,0.0577,0,0.069,0.1667,0.2083,0.0656,,0.0497,,0.029,reg oper account,block of flats,0.0759,"Stone, brick",No,1,0,1,0,-672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100187,Cash loans,F,N,Y,0,225000,501363,25726.5,418500,Family,Commercial associate,Higher education,Married,House / apartment,0.031329,-21040,-2467,-918,-3663,,1,1,0,1,1,0,,2,2,2,THURSDAY,12,0,0,0,0,0,0,Self-employed,,0.266212101,0.595456203,0.0722,,0.9965,,,0.04,0.0345,0.5,,,,0.0986,,0.0843,0.0735,,0.9965,,,0.0403,0.0345,0.5,,,,0.1027,,0.0893,0.0729,,0.9965,,,0.04,0.0345,0.5,,,,0.1004,,0.0861,,block of flats,0.1175,"Stone, brick",No,5,1,5,1,-1792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100212,Cash loans,F,Y,N,0,90000,450000,23107.5,450000,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.005002,-15773,-1310,-7173,-5049,22,1,1,0,1,0,0,Core staff,2,3,3,MONDAY,15,0,0,0,0,0,0,Self-employed,,0.762953209,0.357293268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,-2865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100222,Cash loans,F,Y,Y,0,360000,945000,34074,945000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-17796,-2785,-2296,-1224,1,1,1,0,1,0,0,,2,2,2,WEDNESDAY,12,0,0,0,0,0,0,Self-employed,,0.678601882,0.253962809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
100223,Cash loans,F,N,N,0,180000,490374,35811,400500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.00496,-12994,-2055,-164,-3461,,1,1,0,1,0,0,Managers,2,2,2,MONDAY,11,0,0,0,0,0,0,Trade: type 6,0.447753825,0.785881404,0.612704244,0.1129,,0.9876,,,0,0.3103,0.1875,,0.0114,,,,,0.0998,,0.9866,,,0,0.2759,0.1667,,0.0116,,,,,0.114,,0.9876,,,0,0.3103,0.1875,,0.0116,,,,,,,0.0856,"Stone, brick",No,2,0,1,0,-1967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
100232,Cash loans,F,N,N,1,102150,335592,21577.5,265500,Unaccompanied,Working,Higher education,Married,House / apartment,0.00496,-14445,-1751,-2204,-5049,,1,1,0,1,0,0,Core staff,3,2,2,THURSDAY,15,0,0,0,0,0,0,School,,0.784572213,0.567379237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
